Gevrez,1054,0.99999999999999989,3,81,1.0000000000000002,4,1642,0.69902084969869849,6,1761,0.99999999999999989,7,1311,0.96401211987538293,9,81,1.0000000000000002,12,1462,0.55882898429332495,13,733,1.0,15,231,1.0,19,589,0.99999999999999989,20,81,1.0000000000000002,22,1134,1.0,24,220,1.0,27,444,1.0,28,499,1.0,29,493,1.0,30,2038,1.0,31,81,1.0000000000000002,37,1304,1.0000000000000002,38,292,1.0,41,81,1.0000000000000002,46,1374,1.0,47,1114,1.0,48,243,1.0,49,833,0.56274250934461856,51,1060,1.0,52,433,1.0,54,925,1.0,55,585,1.0000000000000002,56
Chambertin,308,0.54373655062022797,2,1054,0.96774101467284002,3,1642,1.0,6,1759,0.99999999999999989,7,1460,1.0,9,1314,0.70645920595584843,13,733,0.99999999999999989,15,563,1.0,19,1345,0.60438094157887667,21,1733,1.0,21,1776,0.83577449044900909,21,624,0.96535706913687347,22,1134,0.99999999999999989,24,81,1.0000000000000002,25,138,1.0000000000000002,26,220,1.0,28,446,0.99999999999999989,29,501,1.0,30,493,1.0,31,845,0.59043306576184917,31,2038,1.0000000000000002,32,677,1.0,33,81,1.0000000000000002,34,1306,0.99999999999999989,39,292,0.99999999999999989,42,81,1.0000000000000002,45,81,1.0000000000000002,49,1374,1.0,50,1114,1.0,51
Lafon11,1190,0.50020755038465481,1,1313,1.0,1,1962,0.57360673643845661,1,894,1.0,2,1099,0.99999999999999989,3,534,1.0,4,1409,1.0,5,1874,1.0000000000000002,6,81,1.0000000000000002,7,147,0.99999999999999989,8,1611,1.0,9,476,1.0,10,181,0.99999999999999989,11,341,0.89073008647609564,11,1995,0.81586333588402937,11,1128,0.88126563359365506,12,1335,1.0,12,1694,1.0,13,938,1.0,15,288,1.0,16,860,1.0,17,1229,0.51377584956561662,17,1810,1.0,18,708,1.0,19,788,1.0000000000000002,22,1382,0.64171044517278653,23,1652,1.0,23,1903,0.65507725439271802,23,1948,0.53935918995928522,23
Echezeau,81,1.0000000000000002,1,1056,0.98670799407211807,3,1642,0.53414709628193757,5,1761,0.89235694638941332,6,81,1.0000000000000002,7,1460,0.87990939616644759,8,1311,0.63760910791215653,10,192,1.0,13,741,0.99999999999999989,14,81,1.0000000000000002,15,456,1.0,16,589,1.0000000000000002,19,1134,1.0,23,140,1.0000000000000002,25,220,1.0,27,444,1.0,28,702,0.99999999999999978,29,493,1.0,30,843,0.72040319753865401,30,2038,1.0,31,1304,0.99999999999999989,39,292,1.0,42,81,1.0000000000000002,46,1173,0.73546066459208936,47,1374,1.0,50,1112,1.0000000000000002,51,243,1.0,52,831,0.64976677101225133,54,1060,1.0,55
Smart,487,0.99999999999999989,3,122,1.0,4,938,0.52077025730395299,4,892,0.99999999999999989,5,823,1.0,7,1407,1.0,8,1165,1.0,9,1347,1.0,11,1296,1.0,13,325,0.59119393854190694,14,997,0.99999999999999989,14,1204,0.70852380768004597,14,1694,1.0,15,630,0.99999999999999989,17,140,1.0,18,1077,1.0,19,560,0.75791547351600341,21,132,1.0,22,81,1.0000000000000002,23,1470,0.50928347799191043,24,2040,0.99999999999999989,24,356,1.0,25,677,1.0,26,294,0.99999999999999989,27,769,0.57029651005426119,27,1423,1.0,28,1589,0.90475804631045176,28,610,0.8927547189806776,29,1890,0.99999999999999989,30
Giardin,722,0.58074717928648123,2,1147,0.67448145971539897,2,968,1.0,3,81,1.0000000000000002,4,894,1.0,5,427,0.68262840590428453,7,1056,1.0,7,1253,0.50383507829901553,7,1409,1.0,8,1284,1.0,9,81,1.0000000000000002,10,1613,1.0,11,331,0.88905267792096987,13,669,0.99999999999999989,14,1450,1.0,15,140,1.0,17,1065,1.0,18,1173,0.99999999999999989,19,198,1.0,20,1216,0.59078896157222249,20,2009,1.0,23,267,1.0,24,1081,1.0,27,581,1.0,28,1421,1.0,29,1589,0.88912588285753558,29,1658,0.71617028357017265,29,351,0.99999999999999989,30,1775,1.0,31
Clo,308,0.81425516225637928,2,1048,1.0000000000000002,3,81,1.0000000000000002,6,534,0.65414277085891159,6,1761,1.0,7,147,1.0,9,1311,0.99999999999999989,11,192,1.0,13,741,1.0,14,456,1.0,16,649,1.0,18,1134,0.56388604288864563,25,220,1.0,28,444,1.0,29,704,1.0,30,757,1.0,31,1550,1.0,32,81,1.0000000000000002,36,1306,1.0,40,290,0.99999999999999989,43,159,1.0,46,784,1.0,47,895,0.57784149307536736,48,1171,0.66407885080637796,48,81,1.0000000000000002,50,1374,1.0,51,1112,0.99999999999999989,52,243,1.0000000000000002,53,833,0.57005559466395739,55
Beaune,81,1.0000000000000002,2,308,0.62329607944132648,2,1050,1.0,3,933,1.0000000000000002,4,1229,0.92775937356606453,5,1642,0.96000828458008414,6,1761,1.0,7,147,1.0,9,1313,0.82762949627201532,11,192,1.0,13,731,1.0,14,81,1.0000000000000002,17,1915,0.60623631063595218,17,81,1.0000000000000002,19,1733,0.64151417948562106,20,1778,1.0,20,1134,0.91033826212430968,23,220,1.0,26,444,1.0,27,501,0.99999999999999978,28,351,0.52119912033435856,29,2038,1.0,30,675,0.99999999999999989,31,175,0.92914069056603432,34,710,1.0,37,1306,1.0,38,292,1.0,41,81,1.0000000000000002,43,1374,0.99999999999999989,48
Lafon20,81,1.0,1,81,1.0,2,81,1.0,3,1296,1.0,4,81,1.0,5,81,1.0,6,343,0.59215825576950876,6,81,1.0,7,534,1.0,8,81,1.0,9,81,1.0,11,487,1.0,12,731,0.74453693653354247,13,1190,0.61758462108962953,13,1962,1.0,13,894,1.0,14,1099,1.0,15,587,1.0,17,444,0.62202696339738928,18,1409,0.99999999999999989,18,1679,1.0000000000000002,21,478,1.0,22,167,1.0,23,1101,1.0,24,936,0.99999999999999989,27,288,1.0,28,862,1.0,29,1151,0.80341910485967638,29,1335,0.52237423180382547,29
Gevrez,1054,0.99999999999999989,3,81,1.0000000000000002,4,1642,0.69902084969869849,6,1761,0.99999999999999989,7,1311,0.96401211987538293,9,81,1.0000000000000002,12,1462,0.55882898429332495,13,733,1.0,15,231,1.0,19,589,0.99999999999999989,20,81,1.0000000000000002,22,1134,1.0,24,220,1.0,27,444,1.0,28,499,1.0,29,493,1.0,30,2038,1.0,31,81,1.0000000000000002,37,1304,1.0000000000000002,38,292,1.0,41,81,1.0000000000000002,46,1374,1.0,47,1114,1.0,48,243,1.0,49,833,0.56274250934461856,51,1060,1.0,52,433,1.0,54,925,1.0,55,585,1.0000000000000002,56
Chambertin,308,0.54373655062022797,2,1054,0.96774101467284002,3,1642,1.0,6,1759,0.99999999999999989,7,1460,1.0,9,1314,0.70645920595584843,13,733,0.99999999999999989,15,563,1.0,19,1345,0.60438094157887667,21,1733,1.0,21,1776,0.83577449044900909,21,624,0.96535706913687347,22,1134,0.99999999999999989,24,81,1.0000000000000002,25,138,1.0000000000000002,26,220,1.0,28,446,0.99999999999999989,29,501,1.0,30,493,1.0,31,845,0.59043306576184917,31,2038,1.0000000000000002,32,677,1.0,33,81,1.0000000000000002,34,1306,0.99999999999999989,39,292,0.99999999999999989,42,81,1.0000000000000002,45,81,1.0000000000000002,49,1374,1.0,50,1114,1.0,51
Lafon11,1190,0.50020755038465481,1,1313,1.0,1,1962,0.57360673643845661,1,894,1.0,2,1099,0.99999999999999989,3,534,1.0,4,1409,1.0,5,1874,1.0000000000000002,6,81,1.0000000000000002,7,147,0.99999999999999989,8,1611,1.0,9,476,1.0,10,181,0.99999999999999989,11,341,0.89073008647609564,11,1995,0.81586333588402937,11,1128,0.88126563359365506,12,1335,1.0,12,1694,1.0,13,938,1.0,15,288,1.0,16,860,1.0,17,1229,0.51377584956561662,17,1810,1.0,18,708,1.0,19,788,1.0000000000000002,22,1382,0.64171044517278653,23,1652,1.0,23,1903,0.65507725439271802,23,1948,0.53935918995928522,23
Echezeau,81,1.0000000000000002,1,1056,0.98670799407211807,3,1642,0.53414709628193757,5,1761,0.89235694638941332,6,81,1.0000000000000002,7,1460,0.87990939616644759,8,1311,0.63760910791215653,10,192,1.0,13,741,0.99999999999999989,14,81,1.0000000000000002,15,456,1.0,16,589,1.0000000000000002,19,1134,1.0,23,140,1.0000000000000002,25,220,1.0,27,444,1.0,28,702,0.99999999999999978,29,493,1.0,30,843,0.72040319753865401,30,2038,1.0,31,1304,0.99999999999999989,39,292,1.0,42,81,1.0000000000000002,46,1173,0.73546066459208936,47,1374,1.0,50,1112,1.0000000000000002,51,243,1.0,52,831,0.64976677101225133,54,1060,1.0,55
Smart,487,0.99999999999999989,3,122,1.0,4,938,0.52077025730395299,4,892,0.99999999999999989,5,823,1.0,7,1407,1.0,8,1165,1.0,9,1347,1.0,11,1296,1.0,13,325,0.59119393854190694,14,997,0.99999999999999989,14,1204,0.70852380768004597,14,1694,1.0,15,630,0.99999999999999989,17,140,1.0,18,1077,1.0,19,560,0.75791547351600341,21,132,1.0,22,81,1.0000000000000002,23,1470,0.50928347799191043,24,2040,0.99999999999999989,24,356,1.0,25,677,1.0,26,294,0.99999999999999989,27,769,0.57029651005426119,27,1423,1.0,28,1589,0.90475804631045176,28,610,0.8927547189806776,29,1890,0.99999999999999989,30
Giardin,722,0.58074717928648123,2,1147,0.67448145971539897,2,968,1.0,3,81,1.0000000000000002,4,894,1.0,5,427,0.68262840590428453,7,1056,1.0,7,1253,0.50383507829901553,7,1409,1.0,8,1284,1.0,9,81,1.0000000000000002,10,1613,1.0,11,331,0.88905267792096987,13,669,0.99999999999999989,14,1450,1.0,15,140,1.0,17,1065,1.0,18,1173,0.99999999999999989,19,198,1.0,20,1216,0.59078896157222249,20,2009,1.0,23,267,1.0,24,1081,1.0,27,581,1.0,28,1421,1.0,29,1589,0.88912588285753558,29,1658,0.71617028357017265,29,351,0.99999999999999989,30,1775,1.0,31
Clo,308,0.81425516225637928,2,1048,1.0000000000000002,3,81,1.0000000000000002,6,534,0.65414277085891159,6,1761,1.0,7,147,1.0,9,1311,0.99999999999999989,11,192,1.0,13,741,1.0,14,456,1.0,16,649,1.0,18,1134,0.56388604288864563,25,220,1.0,28,444,1.0,29,704,1.0,30,757,1.0,31,1550,1.0,32,81,1.0000000000000002,36,1306,1.0,40,290,0.99999999999999989,43,159,1.0,46,784,1.0,47,895,0.57784149307536736,48,1171,0.66407885080637796,48,81,1.0000000000000002,50,1374,1.0,51,1112,0.99999999999999989,52,243,1.0000000000000002,53,833,0.57005559466395739,55
Beaune,81,1.0000000000000002,2,308,0.62329607944132648,2,1050,1.0,3,933,1.0000000000000002,4,1229,0.92775937356606453,5,1642,0.96000828458008414,6,1761,1.0,7,147,1.0,9,1313,0.82762949627201532,11,192,1.0,13,731,1.0,14,81,1.0000000000000002,17,1915,0.60623631063595218,17,81,1.0000000000000002,19,1733,0.64151417948562106,20,1778,1.0,20,1134,0.91033826212430968,23,220,1.0,26,444,1.0,27,501,0.99999999999999978,28,351,0.52119912033435856,29,2038,1.0,30,675,0.99999999999999989,31,175,0.92914069056603432,34,710,1.0,37,1306,1.0,38,292,1.0,41,81,1.0000000000000002,43,1374,0.99999999999999989,48
Lafon20,81,1.0,1,81,1.0,2,81,1.0,3,1296,1.0,4,81,1.0,5,81,1.0,6,343,0.59215825576950876,6,81,1.0,7,534,1.0,8,81,1.0,9,81,1.0,11,487,1.0,12,731,0.74453693653354247,13,1190,0.61758462108962953,13,1962,1.0,13,894,1.0,14,1099,1.0,15,587,1.0,17,444,0.62202696339738928,18,1409,0.99999999999999989,18,1679,1.0000000000000002,21,478,1.0,22,167,1.0,23,1101,1.0,24,936,0.99999999999999989,27,288,1.0,28,862,1.0,29,1151,0.80341910485967638,29,1335,0.52237423180382547,29
